,Item,ValorUnitarioAprovado,Data,idPRONAC
1894129,Material de consumo,7000.0,2014-07-31 07:27:29,179966
2003098,Locação de teatro,465.39,2015-05-05 16:38:24,185736
925488,Banheiro químico,250.0,2012-03-16 00:00:00,143223
1326505,Técnico de som,3500.0,2013-01-07 00:00:00,155368
136947,Cartaz,300.0,2010-01-01 00:00:00,114412
148159,Projeto Gráfico,2000.0,2009-06-29 00:00:00,114456
1317687,Material para maquiagem,5000.0,2014-01-07 10:09:08,155419
769166,Cópias e reproduções,600.0,2011-06-16 00:00:00,135444
1924227,Assistente de produção,3000.0,2014-08-01 16:46:26,181405
1267764,Água,1.5,2014-01-07 10:09:08,155048
1070151,Assistentes,3000.0,2012-03-05 00:00:00,147956
465253,INSS,100000.0,2010-09-10 00:00:00,123840
141504,Elaboração e Agenciamento,11800.0,2009-11-01 00:00:00,114609
1946571,Assessoria de Comunicação,0.0,2014-09-23 08:07:54,183425
47438,Uniforme,0.0,2009-08-30 00:00:00,113196
222986,Produtor Executivo,834.0,2010-02-01 00:00:00,116760
1304217,Assistente de produção,1000.0,2014-01-07 10:09:08,155615
1790111,Coordenador do Projeto,7500.0,2014-06-09 16:54:44,171232
1316054,"Fotografia Artística (Fotógrafo, Tratamento, Revelação, etc.)",1500.0,2013-04-01 00:00:00,156618
823295,Produtor,800.0,2012-01-10 00:00:00,135716
1923002,Arranjador,6000.0,2014-08-20 00:00:00,178616
1946759,Diretor geral,0.0,2015-12-04 09:18:21,193254
784512,Passagens Aéreas (Descrever os trechos na tela de deslocamentos),600.0,2014-01-07 10:09:08,167542
2354328,ECAD (caso de o evento ser aberto e gratuito),1191.37,2016-01-16 07:18:12,194284
1409117,Reparos e manutenção,250.0,2013-01-26 00:00:00,157881
2228477,Consultores,15000.0,2015-12-17 00:00:00,198122
1148450,Outdoors,300.0,2013-02-26 00:00:00,150425
936576,Coordenador do Projeto,2500.0,2011-12-20 00:00:00,142787
93731,Maquinista,250.0,2013-11-01 00:00:00,161851
2204400,Curador,5000.0,2015-10-26 12:08:22,194061
129003,Designer,1500.0,2009-09-13 00:00:00,115507
353983,Elenco Principal,9100.0,2010-05-17 00:00:00,121581
1343656,Eletricista,1100.0,2012-10-01 00:00:00,153497
2184915,Planejamento,1400.0,2015-09-18 16:40:32,193877
605160,Assessor de imprensa,3500.0,2012-01-01 00:00:00,131173
1318545,Aquisição de Acervo,10000.0,2013-01-01 00:00:00,156324
2056252,Registro e documentação fotográfica,1500.0,2014-12-12 00:00:00,186550
178385,Impressão,0.9,2009-08-27 00:00:00,115227
301569,Produtor Executivo,3500.0,2010-01-08 00:00:00,117091
1383758,Encordamento para Contrabaixo,47.0,2013-01-02 00:00:00,156915
1640973,Locação de Gerador de Energia,0.0,2015-05-01 17:14:58,190228
965189,Direção musical,7000.0,2012-01-10 00:00:00,143361
309400,Assessor de imprensa,12000.0,2010-05-30 00:00:00,119919
1821321,Locação de Equipamento de projeção,4000.0,2014-05-28 09:17:00,173167
